local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-23,17:00:00,"Istituto Comprensivo ""Aldo Moro"" Plesso Cancello, Via XXI Giugno, San Felice a Cancello, Caserta, Campania, 81027, Italia",40.99052,14.42397,32,43.6,1012.1,26.0,74.0,0.4,7.4,4.6,,1.9,1.8,32.4,-4.2,
2020-03-21,23:00:00,"SP4 di Bardi, Tirolini, Lugagnano Val D'Arda, Piacenza, Emilia-Romagna, 20914, Italia",44.82389,9.830369,41,83.0,1013.1,16.0,76.0,,9.4,,,0.1,12.4,41.1,,
2020-03-22,23:00:00,"Via Iugoslavia, Sugherella, Grosseto, Toscana, 58100, Italia",42.77621678315,11.118456357027,53,27.0,1023.0,16.0,53.0,,10.0,10.8,16.4,,11.9,,-8.0,
2020-03-23,16:00:00,"Burger King, Corso Novara, Municipalità 4, Napoli, Campania, 80142, Italia",40.85361,14.27167,2,45.0,1019.0,16.0,46.0,0.3,7.0,6.6,10.8,1.9,5.6,,-4.0,
2020-03-21,23:00:00,"Tangenziale Sud, Besurica, Piacenza, Emilia-Romagna, 29100, Italia",45.038544,9.669349,72,83.0,1013.1,31.0,72.0,,9.4,,,0.1,6.9,40.3,,
2020-03-21,23:00:00,"Stradone Bentivoglio, Taglio Corelli, Alfonsine, Unione dei comuni della Bassa Romagna, Ravenna, Emilia-Romagna, 48011, Italia",44.527432,11.982355,72,40.3,1026.7,33.0,72.0,5.1,7.3,2.6,7.5,0.1,6.4,32.5,,
2020-03-21,23:00:00,"80, Via Diaz, Il Poggio, San Clemente, Rimini, Emilia-Romagna, 47832, Italia",43.93183,12.62728,89,66.0,1018.0,30.0,89.0,,12.0,5.1,,,5.1,40.3,6.0,
2020-03-21,23:00:00,"Via Bagno, Cascina Camerona, Cerano, Novara, Piemonte, 28065, Italia",45.4099034,8.7875429,91,55.0,1025.0,,91.0,,6.1,8.4,19.0,,,,,
2020-03-21,23:00:00,"Centro Fusetti, 8, Piazza Santuario, Stella, Cascinazza, Saronno, Varese, Lombardia, 21047, Italia",45.626104,9.025004,68,44.0,1028.2,23.0,68.0,,5.0,7.0,10.6,,12.4,48.4,,
2020-03-22,23:00:00,"Pista Viale Roma, Bargana, Massa, Toscana, 54100, Italia",44.029626188391,10.133072297499,70,23.5,1033.9,23.0,70.0,,10.3,3.1,5.1,,11.5,,,
2020-03-22,23:00:00,"Via Ferrara, Soccorso, Le Badie, Prato, Toscana, 59100, Italia",43.87191227786,11.092564625561,59,25.0,1023.7,19.0,59.0,,8.8,6.0,19.0,0.1,9.2,,,
2020-03-22,23:00:00,"36, Via Alfredo Catalani, Stazione, Campo di Marte, Livorno, Toscana, 57124, Italia",43.552268087855,10.329007715785,55,23.0,1023.0,17.0,55.0,,11.0,9.7,15.4,0.1,10.6,,-9.0,
2020-03-21,23:00:00,"22, Via della Cittadella, Centro cittadino, Giardino, Ferrara, Emilia-Romagna, 44121, Italia",44.842488,11.613141,33,51.6,1019.0,33.0,102.0,,11.4,2.0,,0.1,12.8,39.4,,
2020-03-21,23:00:00,"Località Gherardi, Jolanda di Savoia, Ferrara, Emilia-Romagna, Italia",44.839749,11.961252,72,67.5,1016.0,29.0,72.0,,10.8,11.7,12.5,0.1,4.2,40.3,,
2020-03-21,23:00:00,"Via Senato, Guastalla, Porta Venezia, Milano, Lombardia, 20121, Italia",45.470501,9.19746075,78,48.0,1027.0,33.0,78.0,,5.5,,,0.1,26.6,,,
2020-03-21,23:00:00,"Lamarmora, Zona Sud, Brescia, Lombardia, Italia",45.515945,10.21914764,119,35.0,1012.5,44.0,119.0,1.6,6.6,5.0,6.0,,12.4,41.9,,
2020-03-21,23:00:00,"59, Via delle Mandriole, Villa Fulvia, Ferrara, Emilia-Romagna, 44100, Italia",44.824263,11.649618,70,62.5,1019.2,28.0,70.0,,11.8,3.5,11.7,0.1,6.9,39.8,,
2020-03-21,23:00:00,"245a, Via Tommaso Gulli, Borgo San Rocco, Ponte Nuovo, Ravenna, Emilia-Romagna, 48122, Italia",44.419261,12.225385,87,77.3,1019.8,32.0,87.0,5.1,10.9,14.3,18.3,0.1,11.0,40.3,,
2020-03-23,16:00:00,"SS162dir, Municipalità 6, Napoli, Campania, 80147, Italia",40.86427,14.34108,50,45.0,1019.0,22.0,50.0,1.5,7.0,6.6,10.8,4.6,7.4,,-4.0,
2020-03-21,23:00:00,"Via Giuseppe Verdi, Dalmine, Bergamo, Lombardia, 24044, Italia",45.64971,9.60123469,85,46.0,1028.5,26.0,85.0,,5.0,2.0,,0.1,9.6,,-5.5,
2020-03-21,23:00:00,"45, Via Ardengo Folperti, Città Giardino, Pavia, Lombardia, 27100, Italia",45.19468231,9.16464919,80,40.6,1030.1,25.0,80.0,2.1,6.5,5.3,16.3,,19.7,44.3,,
2020-03-21,23:00:00,"17, Strada del Mezzano, I Corni, Ostellato, Unione dei comuni Valli e Delizie, Ferrara, Emilia-Romagna, 44020, Italia",44.740896,11.941937,63,62.5,1019.2,29.0,63.0,,11.8,3.5,11.7,0.1,6.4,41.9,,
2020-03-21,23:00:00,"Viale Staffarda, Cascina Flesie, Revello, Cuneo, Piemonte, Italia",44.7202123,7.4383072,70,71.8,1021.4,,70.0,,7.3,2.1,3.5,,,,,
2020-03-22,23:00:00,"Facoltà di Economia, Via Cosimo Ridolfi, La Cella, Pisa, Toscana, 56127, Italia",43.71153749249,10.409876134347,65,22.5,1022.7,20.0,65.0,,12.1,9.3,12.5,0.1,9.2,,,
2020-03-22,23:00:00,"1A, Via Coraglia, Campanella, Imola, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40026, Italia",44.355422,11.720672,21,43.0,1025.5,21.0,76.0,,0.5,12.0,,,7.8,38.6,,
